中文,英文,页码,缩写
去皮层僵直,decorticate rigidity,312,无
去同步化　,desynchronization,327,无
去抑制,disinhibition,314,无
全或无,all-or-none,32,无
醛固酮,aldosterone,368,无
缺铁性贫血,iron deficiency anemia,59,无
热量限制,caloric restriction,408,CR
热舒适,thermal comfort,211,无
热习服,heat acclimatization,211,无
人催乳素,human prolactin,351,hPRL
人工呼吸,artificial respiration,138,无
人绒毛膜促性腺激素,human chorionic gonadotropin,394,hCG
人生长激素,human growth hormone,349,hGH
人胎盘催乳素,human placental lactogen,395,hPL
妊娠,pregnancy,392,无
容量感受性反射,volume receptor reflex,124,无
容量血管,capacitance vessel,106,无
容受性舒张,receptive relaxation,177,无
溶剂拖曳,solvent drag,225,无
融合现象,fusion phenomenon,266,无
蠕动,peristalsis,170,无
蠕动冲,peristaltic rush,184,无
入胞作用,endocytosis,21,无
三联体,triad,45,无
三磷酸肌醇,inositol triphosphate,3,IP
三原色学说,trichromatic theory,262,无
散光,astigmatism,256,无
散热,heat loss,206,无
搔爬反射,scratching reflex,311,无
色觉,color vision,262,无
色盲,color blindness,263,无
色弱,color weekness,263,无
伤害性感受器,nociceptor,249,无
上皮钠通道,epithelial  sodium channel,222,ENaC
上调,up-regulation,295,无
上行抑制系统,ascending inhibitory system,331,无
少突胶质细胞,oligodendrocyte,281,无
射乳反射,milk ejection reflex,355,无
射血分数,ejection fraction,82,无
射血期,ejection period,80,无
摄食中枢,feeding center,202,无
身体质量指数,body mass index,202,BMI
深吸气量,inspiratory capacity,144,IC
神经递质,neurotransmitter,292,无
神经分泌,neurocrine,9,无
神经肌肉接头,neuromuscular junction,43,无
神经胶质细胞,neuroglial cell,280,无
神经内分泌,neuroendocrine,337,无
神经肽Y　,neuropeptide Y,251,NPY
神经- 体液调节　,neurohumoral regulation,9,无
神经调节,nervous regulation,9,无
神经调质,neuromodulator,292,无
神经系统,nervous system,280,无
神经细胞,nerve cell,280,无
神经纤维,nerve fiber,281,无
神经营养因子,neurotrophic factor； neurotrophin,284,NT
神经元,neuron,280,无
神经元网络学说,theory of neuronal network,158,无
神经元型烟碱受体,neuron-type nicotinic receptor,296,无
肾单位,nephron,213,无
肾内尿素再循环,intrarenal urea recycling,226,无
肾上腺（皮质） 功能初现,adrenarche,371,无
肾上腺皮质激素,adrenocortical hormone； corticoid,368,无
肾上腺素,epinephrine,125,E
肾上腺素能神经元,adrenergic neuron,296,无
肾上腺素能受体,adrenergic receptor,297,无
肾上腺素能纤维,adrenergic fiber,297,无
肾上腺髓质素,adrenomedullin,372,ADM
肾素,renin,124,无
肾素- 血管紧张素系统　,renin-angiotensin system,124,RAS
肾糖阈,renal glucose threshold,225,无
肾- 体液控制系统　,renal-body fluid control system,129,无
肾小球,glomerulus,213,无
肾小球滤过率,glomerular filtration rate,218,GFR
肾血流量,renal blood flow,216,RBF
肾脏钾通道,renal potassium channel,224,无
渗透性利尿,osmotic diuresis,226,无
渗透压,osmotic pressure,54,无
渗透压感受器,osmoreceptor,231,无
生理无效腔,physiological dead space,146,无
生理学,physiology,1,无
生理学实验,physiology experiment,3,无
生物电,bioelectricity,28,无
生物节律,biorhythm,8,无
生长,growth,400,无
生长抑素,somatostatin,175,SST
生殖,reproduction,6,无
声阻抗,acoustic impedance,268,无
失读症,alexia,335,无
失活态　,inactivated state,36,无
失算症,acalculia,336,无
失写症,agraphia,335,无
失用症,apraxia,335,无
施万细胞,Schwann cell,281,无
时间常数,time constant,40,无
时间总和,temporal summation,42,无
食管下括约肌,lower esophageal sphincter,171,LES
食团,bolus,170,无
食物的热价,thermal equivalent of food,198,无
食物的特殊动力作用,specific  dynamic action of food,201,无
始段,initial segment,281,无
视蛋白,opsin,260,无
视杆细胞,rod cell,257,无
视后像,afterimage,266,无
视黄醛,retinene,260,无
视交叉上核,suprachiasmatic nucleus,323,SCN
视角,visual angle,265,无
视敏度,visual acuity,265,无
视色素,visual pigment,257,无
视上核,supraoptic nucleus,231,无
视网膜,retina,257,无
视野,visual field,265,无
视锥细胞,cone cell,257,无
适宜刺激,adequate stimulus,242,无
适应,adaptation,6,无
适应性,adaptability,6,无
适应性细胞保护作用,adaptive cytoprotection,174,无
室旁核,paraventricular nucleus,231,无
释放激素,releasing hormone,348,无
释放抑制激素,release-inhibiting hormone,348,无
嗜碱性粒细胞,basophil,61,无
嗜酸性粒细胞,eosinophil,61,无
收缩蛋白,contractile protein,46,无
收缩能力,contractility,49,无
收缩期,systole,79,无
收缩期末容积,end-systolic volume,82,ESV
收缩效能,performance of contraction,48,无
收缩性,contractility,90,无
收缩压,systolic pressure,110,无
收缩总和,summation of contraction,49,无
受精,fertilization,393,无
受体,receptor,22,无
受体介导入胞,receptor-mediated  endocytosis,21,无
受体酪氨酸激酶,receptor tyrosine kinase,27,RTK
瘦素,leptin,128,无
舒血管神经,vasodilator nerve,120,无
舒张期,diastole,79,无
舒张期末容积,end-diastolic volume,82,EDV
舒张压,diastolic pressure,110,无
树突,dendrite,280,无
树突棘,dendritic spine,280,无
衰老,aging,7,无
双眼视觉,binocular vision,266,无
水利尿,water diuresis,232,无
水通道,water channel,17,无
水通道蛋白,aquaporin,17,AQP
睡眠,sleep,328,无
顺向运输,anterograde transport,282,无
顺行性遗忘症,anterograde amnesia,333,无
顺应性,compliance,139,无
瞬时受体电位,transient receptor potential,243,TRP
四乙铵,tetraethylammonium,33,TEA
松弛素,relaxin,396,无
随意运动,voluntary movement,308,无
髓袢,loop of henle,213,无
梭内肌纤维,intrafusal fiber,310,无
梭外肌纤维,extrafusal fiber,310,无
缩胆囊素,cholecystokinin,177,CCK
缩宫素,oxytocin,353,OT
缩血管神经,vasoconstrictor nerve,120,无
胎盘,placenta,394,无
胎盘屏障,placental barrier,395,无
弹性阻力,elastic resistance,139,无
碳酸酐酶,carbonic anhydrase,154,CA
碳酸氢盐,bicarbonate,154,无
糖尿病,diabetes mellitus,375,无
糖皮质激素,glucocorticoid,368,GC
特异神经能量定律,law of specific nerve energy,245,无
特异性投射系统,specific projection system,305,无
体感诱发电位,somatosensory evoked potential,328,SEP
体温,body temperature,205,无
体温过低,hypothermia,206,无
体液调节,humoral regulation,9,无
天冬氨酸　,aspartic acid； aspartate,297,Asp
条件反射,conditioned reflex,299,无
调定点学说,set point theory,210,无
调节蛋白,regulatory protein,46,无
跳跃反应,hopping reaction,319,无
跳跃式传导,saltatory conduction,38,无
铁蛋白,ferritin,190,无
铁过载,iron overload,190,无
铁转运蛋白1　,ferroportin1　,190,无
听域,hearing span,266,无
听阈,hearing threshold,266,无
通气/ 血流比值　,ventilation/perfusion ratio,149,无
同步化,synchronization,327,无
同向转运,symport,20,无
同向转运体,symporter,20,无
瞳孔调节反射,pupillary accommodation reflex,255,无
瞳孔对光反射,pupillary light reflex,256,无
瞳孔近反射,near reflex of the pupil,255,无
筒箭毒碱,tubocurarine,289,无
痛觉,pain sensation,249,无
痛苦,agony,325,无
突触,synapse,280,无
突触后电位,postsynaptic potential,288,无
突触后抑制,postsynaptic inhibition,301,无
突触可塑性,synaptic plasticity,290,无
突触囊泡,synaptic vesicle,43,无
突触前受体,presynaptic receptor,294,无
突触前抑制,presynaptic inhibition,303,无
突触前易化,presynaptic facilitation,303,无
突触效能,synaptic efficiency,289,无
突触压抑,synaptic depression,290,无
突触易化,synaptic facilitation,290,无
吞噬作用,phagocytosis,21,无
吞咽,deglutition； swallowing,170,无
吞饮作用,pinocytosis,21,无
脱碘酶,deiodinase,358,无
脱氢表雄酮,dehydroepiandrosterone,371,DHEA
脱铁铁蛋白,apoferritin,190,无
椭圆囊,utricle,274,无
唾液,saliva,169,无
唾液淀粉酶,salivary amylase,169,无
外呼吸,external respiration,135,无
外泌体,exosome,23,无
外源性凝血途径,extrinsic pathway,69,无
外周化学感受器,peripheral chemoreceptor,158,无
外周静脉压,peripheral venous pressure,113,无
外周温度感受器,peripheral thermoreceptor,210,无
完全强直收缩,complete tetanus,49,无
网织红细胞,reticulocyte,59,无
微胶粒,micelle,182,无
微循环,microcirculation,115,无
围绝经期,peri-menopausal period,392,无
维生素D 受体　,vitamin D receptor,365,VDR
尾促皮质素3　,urocortin3,252,无
尾状核,caudate nucleus,314,无
位置性眼震颤,positional nystagmus,316,无
味觉,gustation,277,无
味觉物质,tastant,278,无
味蕾,taste bud,277,无
胃肠激素,gastrointestinal hormone,167,无
胃蛋白酶,pepsin,172,无
胃蛋白酶原,pepsinogen,172,无
胃黏膜屏障,gastric mucosal barrier,173,无
胃排空,gastric emptying,178,无
胃酸,gastric acid,171,无
胃液,gastric juice,171,无
稳态,homeostasis,7,无
无溶质水重吸收量,free water reabsorption,238,无
无髓鞘神经纤维,unmyelinated nerve fiber,281,无
无张力膀胱,atonic bladder,240,无
吸气,inspiration,136,无
吸气切断机制,inspiratory off-switch mechanism,158,无
吸气运动,inspiratory movement,136,无
吸收,absorption,165,无
习服,acclimatization,6,无
习惯化,habituation,291,无
细胞保护作用,cytoprotection,173,无
细胞内液,intracellular fluid,7,无
细胞衰老,cell senescence,405,无
细胞外液,extracellular fluid,7,无
下丘脑促垂体区,hypothalamic hypophysiotropic area,347,无
下丘脑调节肽　,hypothalamic regulatory peptide,348,HRP
下调,down-regulation,295,无
先天性巨结肠,congenital megacolon,167,无
纤溶酶,plasmin,72,无
纤溶酶原激活物,plasminogen activator,72,无
纤维蛋白,fibrin,69,无
纤维蛋白降解产物,fibrin degradation product,73,FDP
纤维蛋白溶解,fibrinolysis,72,无
纤维蛋白溶解酶原,plasminogen,72,无
纤维蛋白原,fibrinogen,69,无
限制性通气不足,restrictive hypoventilation,143,无
腺苷,adenosine,298,无
腺苷酸环化酶,adenylyl cyclase,24,AC
相对不应期,relative refractory period,39,RRP
消化,digestion,165,无
小管液,tubular fluid,220,无
小胶质细胞,microglia,284,无
小脑性共济失调,cerebellar ataxia,317,无
小终板电位,miniature end-plate potential,44,mEPP
协同作用,synergistic action,344,无
心泵功能,cardiac pump function,79,无
心导管检查,cardiac catheterization,87,无
心电图,electrocardiogram,101,ECG
心动周期,cardiac cycle,79,无
心房利尿钠肽,atrial natriuretic peptide,127,ANP
心房收缩期,period of atrial systole,80,无
心肺感受器,cardiopulmonary receptor,123,无
心肌等长调节,myocardial homometric regulation,86,无
心肌收缩能力,cardiac contractility,86,无
心肌异长自身调节,myocardial heterometric autoregulation,84,无
心交感传入反射,cardiac sympathetic afferent reflex,124,无
心交感紧张,cardiac sympathetic tone,120,无
心力储备,cardiac reserve,82,无
心率,heart rate,86,无
心率储备,heart rate reserve,83,无
心迷走紧张,cardiac vagal tone,120,无
心室充盈期,period of ventricular filling,81,无
心室功能曲线,ventricular function curve,83,无
心室僵硬度,ventricular stiffness,85,无
心室收缩期,period of ventricular systole,80,无
心室舒张期,period of ventricular diastole,80,无
心室舒张期末压,end-diastolic pressure,83,EDP
心室顺应性,ventricular compliance,85,无
心室压力- 容积环,ventricular pressure-volume loop,89,无
心输出量,cardiac output,82,无
心血管反射,cardiovascular reflex,122,无
心血管系统,cardiovascular system,79,无
心血管中枢,cardiovascular center,121,无
心音,heart sound,90,无
心音图,phonocardiogram,90,无
心指数,cardiac index,82,无
新陈代谢,metabolism,5,无
信号分子,signal molecule,22,无
信号转导,signal transduction,22,无
信使分子,messenger molecule,22,无
星形胶质细胞,astrocyte,284,无
行波,travelling wave,269,无
行为性体温调节,behavioral thermoregulation,209,无
兴奋,excitation,6,无
兴奋- 收缩耦联　,excitation-contraction coupling,47,无
兴奋性,excitability,6,无
兴奋性突触后电位,excitatory postsynaptic potential,289,EPSP
性成熟,sexual maturity,397,无
性行为,sexual behavior,398,无
性兴奋,sexual excitation,398,无
胸膜腔,pleural cavity,138,无
胸膜腔内压,intrapleural pressure,138,无
胸式呼吸,thoracic breathing,136,无
雄激素结合蛋白,androgen-binding protein,384,ABP
雄激素受体,androgen receptor,385,AR
雄烯二酮,androstenedione,371,无
嗅觉,olfaction,276,无
嗅敏度,olfactory acuity,277,无
悬浮稳定性,suspension stability,58,无
学习,learning,332,无
血- 睾屏障　,blood-testis barrier,384,无
血管活性肠肽,vasoactive intestinal peptide,373,VIP
血管紧张素受体,angiotensin  receptor,124,AT  receptor
血管紧张素原,angiotensinogen,124,无
血管紧张素转换酶,angiotensin-converting enzyme,124,ACE
中英文名词对照索引,vasopressin,126,VP
血管性血友病因子,von Willebrand factor,63,vWF
血管运动神经,vasomotor nerve,120,无
血红蛋白,hemoglobin,56,Hb
血浆,plasma,53,无
血浆蛋白,plasma protein,53,无
血量,blood volume,76,无
血流动力学,hemodynamics,107,无
血流量,blood flow,107,无
血流阻力,resistance to blood flow,108,无
血- 脑脊液屏障,blood-cerebrospinal fluid barrier,133,无
血- 脑屏障　,blood-brain barrier,133,无
血清,serum,70,无
血清素,serotonin,297,无
血栓烷A,thromboxane A2,64,TXA2
血细胞,blood cell,53,无
血细胞比容,hematocrit,54,Hct
血细胞渗出,diapedesis,61,无
血小板,platelet； thrombocyte,54,无
血小板分泌,platelet secretion,64,无
血小板聚集,platelet aggregation,64,无
血小板黏附,platelet adhesion,64,无
血小板生成素,thrombopoietin,66,TPO
血小板释放,platelet release,64,无
血型,blood group,73,无
血压,blood pressure,109,无
血氧饱和度,oxygen saturation of blood,152,无
血氧含量,oxygen content of blood,152,无
血氧容量,oxygen capacity of blood,152,无
血液黏滞度,blood viscosity,54,无
血液凝固,blood coagulation,67,无
血液循环,blood circulation,79,无
血友病,hemophilia,69,无
循环系统,circulation system,79,无
循环系统平均充盈压,mean circulatory filling pressure,109,无
压力感受器,baroreceptor,122,无
压力感受性反射,baroreceptor reflex,122,无
压力- 容积曲线　,pressure-volume curve,140,无
压力性利尿,pressure diuresis,129,无
烟碱受体,nicotinic receptor,296,N receptor
烟碱样作用,nicotine-like action,296,无
延髓头端腹外侧区,rostral ventrolateral medulla,121,RVLM
延髓尾端腹外侧区,caudal ventrolateral medulla,122,CVLM
盐皮质激素,mineralocorticoid,368,MC
盐酸,hydrochloric acid,171,HCl
眼内压,intra ocular pressure,257,无
眼震颤,nystagmus,275,无
氧合,oxygenation,152,无
氧合血红蛋白,oxyhemoglobin,2,HbO
氧合血红蛋白解离曲线,oxyhemoglobin dissociation curve,152,无
氧化,oxidation,152,无
氧解离曲线,oxygen dissociation curve,152,无
氧热价,thermal equivalent of oxygen,198,无
氧债,oxygen debt,163,无
痒觉,itch sensation,251,无
药物- 机械耦联　,pharmacomechanical coupling,51,无
夜盲症,nyctalopia,261,无
液态镶嵌模型,fluid mosaic model,13,无
液相入胞,fluid-phase endocytosis,21,无
腋下温度,axillary temperature,205,无
一碘酪氨酸,monoiodotyrosine,357,MIT
一期止血,first hemostasis,67,无
一氧化氮,nitric oxide,27,NO
一氧化氮合酶,nitric oxide synthase,126,NOS
一氧化碳,carbon monoxide,128,CO
依他尼酸,ethacrynic acid,222,无
胰蛋白酶,trypsin,180,无
胰蛋白酶原,trypsinogen,180,无
胰岛素,insulin,373,无
胰岛素抵抗,insulin resistance,374,无
胰岛素受体,insulin receptor,373,无
胰岛素受体底物,insulin receptor substrate,373,IRS
胰岛素样生长因子,insulin-like growth factor,349,IGF
胰岛素原,proinsulin,373,无
胰淀粉酶,pancreatic amylase,180,无
胰多肽,pancreatic polypeptide,373,PP
胰高血糖素,glucagon,373,无
胰高血糖素样肽-1,glucagon-like peptide-1,377,GLP-1
胰液,pancreatic juice,180,无
胰脂肪酶,pancreatic lipase,180,无
移行性复合运动,migrating motor complex,178,MMC
遗忘,loss of memory,333,无
疑核,nucleus ambiguus,122,无
乙酰胆碱,acetylcholine,43,ACh
乙酰胆碱敏感神经元,acetylcholine-sensitive neuron,295,无
乙酰胆碱酯酶　,acetylcholinesterase,43,AChE
乙酰唑胺,acetazolamide,224,无
异位起搏点,ectopic pacemaker,99,无
异相睡眠,paradoxical sleep,329,PS
异源性受体,heteroreceptor,294,无
抑郁,depression,325,无
抑制,inhibition,6,无
抑制激素,inhibiting hormone,348,无
抑制区,inhibitory area,311,无
抑制素,inhibin,385,无
抑制性突触后电位,inhibitory postsynaptic potential,289,IPSP
易化扩散,facilitated diffusion,15,无
易化区,facilitatory area,311,无
意向性震颤,intention tremor,317,无
酶复合物,tenase complex,69,无
阴部神经,pudendal nerve,239,无
应急反应,emergency reaction,372,无
婴儿期,infancy,400,无
营养性作用,trophic action,283,无
用力肺活量,forced vital capacity,144,FVC
用力呼气量,forced expiratory volume,144,FEV
用力呼吸,forced breathing,136,无
优势半球,dominant hemisphere,334,无
优势传导通路,preferential pathway,98,无
优势卵泡,dominant follicle,388,无
有髓鞘神经纤维,myelinated nerve fiber,281,无
有效不应期,effective refractory period,95,ERP
有效滤过压,effective  filtration pressure,117,EFP
迂回通路,circuitous channel,115,无
余气量,residual volume,144,RV
愉快,pleasure,325,无
阈刺激,threshold stimulus,37,无
阈电位,threshold potential,37,无
阈强度,threshold intensity,6,无
阈值,threshold,6,无
鸢尾素,irisin,381,无
原动力,primary force,136,无
原发性主动转运,primary active transport,18,无
原肌球蛋白,tropomyosin,45,无
原始卵泡,primordial follicle,387,无
远点,far point,255,无
远距分泌,telecrine,9,无
远曲小管,distal convoluted tubule,213,无
远视,hyperopia,256,无
月经,menstruation,390,无
月经周期,menstrual cycle,390,无
允许作用,permissive action,344,无
孕激素,progestin,388,无
孕酮,progesterone,388,P
运动单位,motor unit,49,无
运动前区,premotor area,317,无
运动失语症,motor aphasia,335,无
运动柱,motor column,318,无
再生障碍性贫血,aplastic anemia,56,无
载体,carrier,17,无
造血,hemopoiesis,56,无
造血干细胞,hemopoietic stem cell,56,HSC
造血微环境,hemopoietic microenvironment,56,无
造血祖细胞,hematopoietic progenitor cell,56,无
闸门控制理论,gate control theory,250,无
战栗产热,shivering thermogenesis,207,无
张力- 速度关系曲线　,tension-velocity relation curve,48,无
招募型受体,recruitment receptor,27,无
针刺,acupuncture,251,无
整合,integration,122,无
正常起搏点,normal pacemaker,99,无
正反馈,positive feedback,10,无
正视眼,emmetropia,256,无
正向定型,forward typing,75,无
正性变传导作用,positive  dromotropic  action,119,无
正性变力作用,positive inotropic action,119,无
正性变时作用,positive chronotropic action,119,无
支气管激发试验,bronchial provocation test,146,BPT
肢端肥大症,acromegaly,350,无
脂类激素,lipid hormone,340,无
脂联素,adiponectin,128,无
脂氧合酶,lipoxygenase,379,LOX
直肠温度,rectal temperature,205,无
直接测热法,direct calorimetry,197,无
直接动力,direct force,136,无
直接通路,direct pathway,314,无
直捷通路,thoroughfare channel,116,无
直小血管,vasa recta,214,无
止血,hemostasis,66,无
质子泵,proton pump,19,无
致密斑,macula densa,214,无
中枢化学感受器,central chemoreceptor,158,无
中枢神经系统,central nervous system,280,无
中枢温度感受器,central thermoreceptor,210,无
中枢吸气活动发生器,central inspiratory activity generator,158,无
中枢延搁　,central delay,300,无
中心静脉压,central venous pressure,113,无
中型多棘神经元,medium spiny neuron,315,MSN
中性粒细胞,neutrophil,61,无
终板电位,end-plate potential,43,EPP
终板膜,end-plate membrane,43,无
终池,terminal cisterna,44,无
重症监护病房,intensive care unit,163,ICU
周期募集,cyclic recruitment,388,无
周围神经系统,peripheral nervous system,280,无
轴浆,axoplasm,282,无
轴浆运输,axoplasmic transport,282,无
轴流,axial flow,108,无
轴丘,axon hillock,281,无
轴索,axial cord,281,无
轴突,axon,280,无
侏儒症,dwarfism,349,无
主动转运,active transport,18,无
主细胞,chief cell,171,无
转接蛋白,adaptor protein,27,无
追赶生长,catch-up growth,401,无
着床,implantation,393,无
姿势反射,postural reflex,309,无
自发脑电活动,spontaneous  electrical  activity of brain,326,无
自分泌,autocrine,9,无
自律细胞,autorhythmic cell,90,无
自律性,automaticity,90,无
自然杀伤细胞,natural killer cell,63,NK cell
自身调节,autoregulation,9,无
自身受体,autoreceptor,294,无
自体输血,autologous blood transfusion,77,无
自我更新,self renewal,56,无
自主神经系统,autonomic nervous system,319,无
自主性体温调节,autonomic thermoregulation,209,无
纵管,longitudinal tubule,44,无
纵行肌质网,longitudinal sarcoplasmic reticulum,44,LSR
阻断剂,blocker,293,无
阻塞性通气不足,obstructive hypoventilation,143,无
组胺,histamine,175,无
组织换气,gas exchange in tissue,147,无
组织液,interstitial fluid 或 tissue fluid,117,无
组织因子,tissue factor,69,TF
组织因子途径,tissue factor pathway,69,无
组织因子途径抑制物,tissue factor pathway inhibitor,72,TFPI
最大复极电位,maximum  repolarization  potential,93,MRP
最大可听阈,maximal hearing threshold,266,无
最大随意通气量,maximal voluntary ventilation,145,无
最后公路,final common path,309,无
最适初长度,optimal initial length,48,无
左心室射血分数,left ventricular ejection fraction,88,LVEF
